group,subgroup,suborder,subcat,xaxis,xorder,xlabel,chart,value,count,total,missing,x0,x1,x2,x3
Alabama,fouryr,1,,actcat,1,1-15,Percent who attended a 4-year college,29.1,905,3106,,out of,college students whose ACT Composite score is in the range of,attended a four-year college.,
Alabama,fouryr,1,,actcat,2,16-19,Percent who attended a 4-year college,45.2,3549,7848,,out of,college students whose ACT Composite score is in the range of,attended a four-year college.,
Alabama,fouryr,1,,actcat,3,20-23,Percent who attended a 4-year college,63.3,4979,7867,,out of,college students whose ACT Composite score is in the range of,attended a four-year college.,
Alabama,fouryr,1,,actcat,4,24-27,Percent who attended a 4-year college,83.3,4241,5093,,out of,college students whose ACT Composite score is in the range of,attended a four-year college.,
Alabama,fouryr,1,,actcat,5,28-32,Percent who attended a 4-year college,96.9,2934,3029,,out of,college students whose ACT Composite score is in the range of,attended a four-year college.,
Alabama,fouryr,1,,actcat,6,33-36,Percent who attended a 4-year college,100,447,447,,out of,college students whose ACT Composite score is in the range of,attended a four-year college.,
Alabama,enroll,1,,actcat,1,1-15,Percent who enrolled in college,49.1,3106,6321,,out of,students whose ACT Composite score is in the range of,enrolled in college.,
Alabama,enroll,1,,actcat,2,16-19,Percent who enrolled in college,66,7848,11885,,out of,students whose ACT Composite score is in the range of,enrolled in college.,
Alabama,enroll,1,,actcat,3,20-23,Percent who enrolled in college,77.7,7867,10123,,out of,students whose ACT Composite score is in the range of,enrolled in college.,
Alabama,enroll,1,,actcat,4,24-27,Percent who enrolled in college,86,5093,5923,,out of,students whose ACT Composite score is in the range of,enrolled in college.,
Alabama,enroll,1,,actcat,5,28-32,Percent who enrolled in college,90.1,3029,3362,,out of,students whose ACT Composite score is in the range of,enrolled in college.,
Alabama,enroll,1,,actcat,6,33-36,Percent who enrolled in college,88,447,508,,out of,students whose ACT Composite score is in the range of,enrolled in college.,
Alaska,fouryr,1,,actcat,1,1-15,Percent who attended a 4-year college,88.8,158,178,,out of,college students whose ACT Composite score is in the range of,attended a four-year college.,
Alaska,fouryr,1,,actcat,2,16-19,Percent who attended a 4-year college,91.7,364,397,,out of,college students whose ACT Composite score is in the range of,attended a four-year college.,
Alaska,fouryr,1,,actcat,3,20-23,Percent who attended a 4-year college,95.3,573,601,,out of,college students whose ACT Composite score is in the range of,attended a four-year college.,
Alaska,fouryr,1,,actcat,4,24-27,Percent who attended a 4-year college,97.3,440,452,,out of,college students whose ACT Composite score is in the range of,attended a four-year college.,
Alaska,fouryr,1,,actcat,5,28-32,Percent who attended a 4-year college,98.5,261,265,,out of,college students whose ACT Composite score is in the range of,attended a four-year college.,
Alaska,fouryr,1,,actcat,6,33-36,Percent who attended a 4-year college,100,30,30,,out of,college students whose ACT Composite score is in the range of,attended a four-year college.,
Alaska,enroll,1,,actcat,1,1-15,Percent who enrolled in college,39.8,178,447,,out of,students whose ACT Composite score is in the range of,enrolled in college.,
Alaska,enroll,1,,actcat,2,16-19,Percent who enrolled in college,65.4,397,607,,out of,students whose ACT Composite score is in the range of,enrolled in college.,
Alaska,enroll,1,,actcat,3,20-23,Percent who enrolled in college,77.3,601,777,,out of,students whose ACT Composite score is in the range of,enrolled in college.,
Alaska,enroll,1,,actcat,4,24-27,Percent who enrolled in college,81.9,452,552,,out of,students whose ACT Composite score is in the range of,enrolled in college.,
Alaska,enroll,1,,actcat,5,28-32,Percent who enrolled in college,86.9,265,305,,out of,students whose ACT Composite score is in the range of,enrolled in college.,
Alaska,enroll,1,,actcat,6,33-36,Percent who enrolled in college,83.3,30,36,,out of,students whose ACT Composite score is in the range of,enrolled in college.,
