group,subgroup,suborder,subcat,xaxis,xorder,xlabel,chart,value,count,total,missing,x0,x1,x2,x3
Alabama,majmatch,1,,actcat,1,1-15,Percent who declared in major area,27.7,158,570,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Alabama,majmatch,1,,actcat,2,16-19,Percent who declared in major area,42.9,818,1908,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Alabama,majmatch,1,,actcat,3,20-23,Percent who declared in major area,47.8,1187,2484,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Alabama,majmatch,1,,actcat,4,24-27,Percent who declared in major area,51.6,904,1753,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Alabama,majmatch,1,,actcat,5,28-32,Percent who declared in major area,52.3,615,1176,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Alabama,majmatch,1,,actcat,6,33-36,Percent who declared in major area,57.7,90,156,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Alabama,declrdfit,1,,actcat,1,1-15,Percent who had good I-M Fit for declared,27.1,134,494,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Alabama,declrdfit,1,,actcat,2,16-19,Percent who had good I-M Fit for declared,28.7,475,1654,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Alabama,declrdfit,1,,actcat,3,20-23,Percent who had good I-M Fit for declared,31.9,685,2150,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Alabama,declrdfit,1,,actcat,4,24-27,Percent who had good I-M Fit for declared,34.6,526,1519,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Alabama,declrdfit,1,,actcat,5,28-32,Percent who had good I-M Fit for declared,39.6,390,984,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Alabama,declrdfit,1,,actcat,6,33-36,Percent who had good I-M Fit for declared,40.7,50,123,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Alaska,majmatch,1,,actcat,1,1-15,Percent who declared in major area,16.7,1,6,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Alaska,majmatch,1,,actcat,2,16-19,Percent who declared in major area,57.9,11,19,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Alaska,majmatch,1,,actcat,3,20-23,Percent who declared in major area,51.8,44,85,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Alaska,majmatch,1,,actcat,4,24-27,Percent who declared in major area,57.5,42,73,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Alaska,majmatch,1,,actcat,5,28-32,Percent who declared in major area,58.1,36,62,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Alaska,majmatch,1,,actcat,6,33-36,Percent who declared in major area,85.7,6,7,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Alaska,declrdfit,1,,actcat,1,1-15,Percent who had good I-M Fit for declared,0,0,2,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Alaska,declrdfit,1,,actcat,2,16-19,Percent who had good I-M Fit for declared,40,6,15,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Alaska,declrdfit,1,,actcat,3,20-23,Percent who had good I-M Fit for declared,30.3,20,66,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Alaska,declrdfit,1,,actcat,4,24-27,Percent who had good I-M Fit for declared,35,21,60,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Alaska,declrdfit,1,,actcat,5,28-32,Percent who had good I-M Fit for declared,38.8,19,49,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Alaska,declrdfit,1,,actcat,6,33-36,Percent who had good I-M Fit for declared,60,3,5,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Arizona,majmatch,1,,actcat,1,1-15,Percent who declared in major area,40.1,141,352,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Arizona,majmatch,1,,actcat,2,16-19,Percent who declared in major area,48.8,451,925,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Arizona,majmatch,1,,actcat,3,20-23,Percent who declared in major area,50.3,654,1300,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Arizona,majmatch,1,,actcat,4,24-27,Percent who declared in major area,56.6,554,978,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Arizona,majmatch,1,,actcat,5,28-32,Percent who declared in major area,64.5,386,598,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Arizona,majmatch,1,,actcat,6,33-36,Percent who declared in major area,70,63,90,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Arizona,declrdfit,1,,actcat,1,1-15,Percent who had good I-M Fit for declared,29.9,95,318,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Arizona,declrdfit,1,,actcat,2,16-19,Percent who had good I-M Fit for declared,33.6,274,816,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Arizona,declrdfit,1,,actcat,3,20-23,Percent who had good I-M Fit for declared,34.8,397,1141,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Arizona,declrdfit,1,,actcat,4,24-27,Percent who had good I-M Fit for declared,39.9,334,838,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Arizona,declrdfit,1,,actcat,5,28-32,Percent who had good I-M Fit for declared,42.8,207,484,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Arizona,declrdfit,1,,actcat,6,33-36,Percent who had good I-M Fit for declared,47.9,35,73,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Arkansas,majmatch,1,,actcat,1,1-15,Percent who declared in major area,41.6,148,356,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Arkansas,majmatch,1,,actcat,2,16-19,Percent who declared in major area,44.6,510,1144,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Arkansas,majmatch,1,,actcat,3,20-23,Percent who declared in major area,47.8,928,1942,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Arkansas,majmatch,1,,actcat,4,24-27,Percent who declared in major area,51.8,837,1615,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Arkansas,majmatch,1,,actcat,5,28-32,Percent who declared in major area,49.3,432,876,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Arkansas,majmatch,1,,actcat,6,33-36,Percent who declared in major area,63.1,53,84,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
Arkansas,declrdfit,1,,actcat,1,1-15,Percent who had good I-M Fit for declared,23.5,73,311,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Arkansas,declrdfit,1,,actcat,2,16-19,Percent who had good I-M Fit for declared,26.7,269,1007,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Arkansas,declrdfit,1,,actcat,3,20-23,Percent who had good I-M Fit for declared,31.5,541,1716,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Arkansas,declrdfit,1,,actcat,4,24-27,Percent who had good I-M Fit for declared,34.5,498,1443,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Arkansas,declrdfit,1,,actcat,5,28-32,Percent who had good I-M Fit for declared,37,293,792,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Arkansas,declrdfit,1,,actcat,6,33-36,Percent who had good I-M Fit for declared,34.6,27,78,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
California,majmatch,1,,actcat,1,1-15,Percent who declared in major area,39.2,546,1394,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
California,majmatch,1,,actcat,2,16-19,Percent who declared in major area,49.5,1934,3907,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
California,majmatch,1,,actcat,3,20-23,Percent who declared in major area,55.5,3986,7184,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
California,majmatch,1,,actcat,4,24-27,Percent who declared in major area,59.5,4664,7843,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
California,majmatch,1,,actcat,5,28-32,Percent who declared in major area,61.9,3620,5846,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
California,majmatch,1,,actcat,6,33-36,Percent who declared in major area,65,703,1081,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
California,declrdfit,1,,actcat,1,1-15,Percent who had good I-M Fit for declared,22.8,243,1066,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
